ID	Block	Row	Column	Name	spot_images	circles	squares	circle_qual	std_intensities2	intensities2	intensities
0	1	1	1		"[[359 511 455 ... 210 254 352]
 [268 533 348 ... 374 343 411]
 [514 601 376 ... 261 318 276]
 ...
 [297 398 144 ... 181 291 148]
 [231 212 219 ... 106 252 232]
 [143 176 247 ... 180 289 238]]"	Circle(xy=(269, 77), radius=20)	Rectangle(xy=(243.5, 69.5), width=181, height=167, angle=0)	0.05833333333333333	141.2589861703795	411.3469174503657	9936840
1	1	1	2		"[[310 440 418 ... 137 309 296]
 [464 213 402 ... 165 269 381]
 [478 282 134 ... 364 200 207]
 ...
 [193 153 170 ... 227 339 219]
 [160 274 155 ... 208 213 109]
 [321 168 238 ... 172 316 402]]"	Circle(xy=(514.5, 151.5), radius=20)	Rectangle(xy=(424.5, 68.5), width=181, height=167, angle=0)	0.0	86.56812054314162	271.74208860759495	9792851
2	1	1	3		"[[227 125 201 ... 219 162 416]
 [220 295 239 ... 193 309  56]
 [202 192 156 ... 221  99 155]
 ...
 [203  98 169 ... 182 305 266]
 [299 243 185 ... 243 229 257]
 [155 221 163 ... 240 164 214]]"	Circle(xy=(668, 90), radius=22)	Rectangle(xy=(605.5, 67.5), width=181, height=167, angle=0)	0.1484375	97.76255030199367	293.76071193144367	8669000
3	1	1	4		"[[228 317 292 ... 287 312 186]
 [ 74 214 319 ... 340 249 259]
 [ 91 341 227 ... 191 252 221]
 ...
 [219 223 208 ... 262 216 264]
 [297 269 274 ... 253 252 187]
 [306 220 250 ... 226 109 315]]"	Circle(xy=(877.5, 149.5), radius=20)	Rectangle(xy=(787.5, 66.5), width=181, height=167, angle=0)	0.0	153.4483210648529	317.2848101265823	9189497
4	1	1	5		"[[267 227 129 ... 248  62 245]
 [181 272 165 ... 128 232 182]
 [330 283 198 ... 188 160 176]
 ...
 [341 162 255 ... 280 166 432]
 [145 597 460 ... 472 185 323]
 [213 402 261 ... 193 533 437]]"	Circle(xy=(1058.5, 148.5), radius=20)	Rectangle(xy=(968.5, 65.5), width=181, height=167, angle=0)	0.0	581.4462864171704	418.11946202531647	11406907
5	1	1	6		"[[243 254 227 ... 362  95 104]
 [171 196 142 ... 207  47 259]
 [162 177 255 ... 310 182 209]
 ...
 [338 277 265 ... 220 301 254]
 [301 344 268 ... 419 441 221]
 [363 476 299 ... 331  97 411]]"	Circle(xy=(1293, 90), radius=20)	Rectangle(xy=(1149.5, 64.5), width=181, height=167, angle=0)	0.06666666666666667	6004.949326226494	1043.5123309466985	12423776
6	1	1	7		"[[300 106 100 ... 173 202 359]
 [250 158 240 ... 189 454 241]
 [259 206 126 ... 156 274  94]
 ...
 [196 215 321 ...  95 331 566]
 [324 290 303 ... 295 318 236]
 [409 284 225 ... 233 352 216]]"	Circle(xy=(1339, 69), radius=20)	Rectangle(xy=(1331.5, 63.5), width=181, height=167, angle=0)	0.075	484.17933309951366	308.23600605143724	10782950
7	1	1	8		"[[163 264 230 ... 187 102 166]
 [168 208 184 ... 256 134 124]
 [277 101 217 ...  96 214 130]
 ...
 [310 282 391 ... 366 379 463]
 [280 296 320 ... 550 708 527]
 [420 226 231 ... 363 347 421]]"	Circle(xy=(1602.5, 145.5), radius=20)	Rectangle(xy=(1512.5, 62.5), width=181, height=167, angle=0)	0.0	212.744175928564	505.11708860759495	11016572
8	1	1	9		"[[164 102 144 ... 274 162 517]
 [179 212  72 ... 209 388 220]
 [165 125 133 ... 117 164 243]
 ...
 [546 328 505 ... 924 916 632]
 [374 495 452 ... 551 877 777]
 [415 439 419 ... 575 823 821]]"	Circle(xy=(1847, 108), radius=20)	Rectangle(xy=(1693.5, 61.5), width=181, height=167, angle=0)	0.08333333333333333	115.11348605511076	535.7836117740652	15881110
9	1	1	10		"[[ 801  325  228 ...  223  347  301]
 [ 269  333  334 ...  242  334  338]
 [ 244  216  311 ...  366  377  291]
 ...
 [ 645  720  754 ... 1288 1593 1893]
 [ 871  859  777 ... 1650 1550 1650]
 [ 903  576  500 ... 1382 1355 1159]]"	Circle(xy=(1965.5, 143.5), radius=20)	Rectangle(xy=(1875.5, 60.5), width=181, height=167, angle=0)	0.0	306.2330369285544	807.5522151898734	23449971
10	1	2	1	P010-1	"[[195 333 237 ... 192 183 118]
 [169 168 348 ... 185 299 259]
 [225 199 400 ... 265 211 272]
 ...
 [100 184 191 ... 160 181 199]
 [142 129 116 ... 190  96 163]
 [ 99  79  95 ... 157 131  89]]"	Circle(xy=(353, 367), radius=20)	Rectangle(xy=(245.5, 237.5), width=181, height=167, angle=0)	0.26666666666666666	274.06168814190744	1000.3206046141607	25843646
11	1	2	2	P010-0.5	"[[257 119 295 ... 188 157 246]
 [288 125 267 ... 277 179 179]
 [164 167 292 ... 207 275 195]
 ...
 [128 228 147 ... 195 238 115]
 [ 67 112 102 ... 353 125 120]
 [188  77 119 ... 144 158 245]]"	Circle(xy=(508, 321), radius=36)	Rectangle(xy=(426.5, 236.5), width=181, height=167, angle=0)	0.3173076923076923	581.1758171989544	603.7641253392549	10881644
12	1	2	3	P010-0.25	"[[331 236 239 ... 219 250 320]
 [321 184 295 ... 256 270 260]
 [142 301 239 ... 152 262 197]
 ...
 [ 88 179 246 ... 144  38 201]
 [178 205 165 ...  85  64 119]
 [159 132 169 ...  87  66 131]]"	Circle(xy=(694, 311), radius=48)	Rectangle(xy=(607.5, 235.5), width=181, height=167, angle=0)	0.6321428571428555	165.76313215862476	364.56841813392487	8929392
13	1	2	4	P011-1	"[[175 280 256 ... 269 447 510]
 [320 297 168 ... 357 279 356]
 [222 373 195 ... 189 245 236]
 ...
 [140 170 106 ... 163 100 195]
 [152 149 119 ...  79 144 114]
 [116 132 140 ... 113 209 124]]"	Circle(xy=(886, 316), radius=54)	Rectangle(xy=(789.5, 234.5), width=181, height=167, angle=0)	0.39423076923076833	401.3693642214328	774.554620010935	13839692
